uid,SeanceRef,SessionRef,dateSeance,dateSeanceJour,numSeanceJour,numSeance,typeAssemblee,legislature,session,nomFichierJo,presidentSeance,point_structure_complete,point_nb_niveaux,point_niveau_1,point_niveau_2,point_niveau_3,point_niveau_last,point_niveau_last_known,point_type,point_bibard,point_art,valeur_ptsodj,ordinal_prise,ordre_absolu_seance,id_acteur,id_mandat,code_grammaire,code_style,code_parole,id_syceron,roledebat,nom_orateur,qualite_orateur,id_orateur,stime,texte
CRSANR5L15S2017E1N004,,,20170706150000000,jeudi 06 juillet 2017,2,4,AN,15,Première session extraordinaire 2017,20171004,Présidence de M. François de Rugy,Prorogation de l’état d’urgence > Vote sur l’ensemble,2,Prorogation de l’état d’urgence,Vote sur l’ensemble,,Vote sur l’ensemble,Vote sur l’ensemble,VOTE_ENS_PJL_S_1_10,,,1,5,269,PA332747,PM722798,VOTE_ENS_PJL_S_2_20,NORMAL,,983506,president,M. le président,,332747.0,,Je mets aux voix l’ensemble du projet de loi.
CRSANR5L15S2017E1N006,,,20170710213000000,lundi 10 juillet 2017,2,6,AN,15,Première session extraordinaire 2017,20171006,Présidence de M. François de Rugy,Renforcement du dialogue social > Discussion des articles > Article 1er,5,Renforcement du dialogue social,Discussion des articles,Article 1er,,Article 1er,DISC_ARTICLES_3_1,(n[[o]] 19),1er,1,14,683,PA332747,PM722798,FIN_SEAN_1_0,NORMAL,,990897,president,M. le président,,332747.0,,"Mes chers collègues, je précise que nous avons examiné 50 amendements, à la vitesse moyenne de 15 amendements à l’heure, et qu’il en reste 291.La suite de la discussion est renvoyée à la prochaine séance."
CRSANR5L15S2017E1N009,,,20170712150000000,mercredi 12 juillet 2017,1,9,AN,15,Première session extraordinaire 2017,20171009,Présidence de M. François de Rugy,Questions au Gouvernement > Pénibilité au travail > Suspension et reprise de la séance,3,Questions au Gouvernement,Pénibilité au travail,Suspension et reprise de la séance,Suspension et reprise de la séance,Suspension et reprise de la séance,SUSP_SEAN_PRES_1,,,1,9,318,PA720746,PM723064,SUSP_SEAN_PRES_3,Info Italiques,,987907,,,,,,"(La séance, suspendue à seize heures dix, est reprise à seize heures vingt-cinq, sous la présidence de M. Sylvain Waserman.)"
CRSANR5L15S2017E1N009,,,20170712150000000,mercredi 12 juillet 2017,1,9,AN,15,Première session extraordinaire 2017,20171009,Présidence de M. François de Rugy,Renforcement du dialogue social > Discussion des articles (suite) > Après l’article 2 (suite),4,Renforcement du dialogue social,Discussion des articles (suite),Après l’article 2 (suite),,Après l’article 2 (suite),DISC_ARTICLES_3_1,(n[[o]] 19),Après_ 2,2,10,338,PA720746,PM723064,DISC_ARTICLES_3_1,NORMAL,,988122,president,M. le président,,720746.0,,"La parole est à M. Patrick Hetzel, pour soutenir l’amendement no 31."
CRSANR5L15S2017E1N010,,,20170712213000000,mercredi 12 juillet 2017,2,10,AN,15,Première session extraordinaire 2017,20171010,Présidence de M. Hugues Renson,Renforcement du dialogue social > Après l’article 3,3,Renforcement du dialogue social,Après l’article 3,,,Après l’article 3,DISC_ARTICLES_3_1,(n[[o]] 19),Après_ 3,1,14,780,PA720512,PM722986,DISC_ARTICLES_1_30_1,NORMAL,AVIS_COM_1_20,1020270,,M. Laurent Pietraszewski,rapporteur,720512.0,,"Cet amendement vise à substituer à un décret en Conseil d’État un décret simple pour la fixation des critères qui président au calcul de l’indemnité de licenciement. Comme le rappelle l’exposé sommaire de l’amendement, cette indemnité est calculée depuis 2008 en fonction de l’ancienneté du salarié. Elle est égale à au moins un cinquième du salaire brut mensuel par année d’ancienneté, auquel s’ajoutent deux quinzièmes de mois par année d’ancienneté au-delà de la dixième année d’ancienneté. Vous souhaitez, cher collègue, que cette indemnité soit revalorisée.Je me tourne vers le Gouvernement car, comme le rappelle l’exposé sommaire, ces dispositions sont d’ordre réglementaire – à cet égard, votre amendement s’apparente plutôt, me semble-t-il, à un amendement d’appel. À titre personnel, j’y suis défavorable. Si vous ne le retiriez pas, j’émettrais un avis défavorable."
CRSANR5L15S2017E1N010,,,20170712213000000,mercredi 12 juillet 2017,2,10,AN,15,Première session extraordinaire 2017,20171010,Présidence de M. Hugues Renson,Renforcement du dialogue social > Après l’article 3,3,Renforcement du dialogue social,Après l’article 3,,,Après l’article 3,DISC_ARTICLES_3_1,(n[[o]] 19),Après_ 3,1,14,782,PA721824,PM723394,DISC_ARTICLES_1_30_1,NORMAL,AVIS_GVT_1_10,1020271,,M. le président,,721824.0,,Quel est l’avis du Gouvernement ?
CRSANR5L15S2017E1N010,,,20170712213000000,mercredi 12 juillet 2017,2,10,AN,15,Première session extraordinaire 2017,20171010,Présidence de M. Hugues Renson,Renforcement du dialogue social > Après l’article 3,3,Renforcement du dialogue social,Après l’article 3,,,Après l’article 3,DISC_ARTICLES_3_1,(n[[o]] 19),Après_ 3,1,14,783,PA717169,-1,DISC_ARTICLES_1_30_1,NORMAL,AVIS_GVT_1_20,1020272,,Mme Muriel Pénicaud,ministre,717169.0,,"Légiférer, c’est déterminer la meilleure solution, de façon pragmatique, cohérente avec ses valeurs, en écoutant à la fois la concertation sociale et la représentation nationale. En l’occurrence, nous avons recueilli beaucoup d’observations à la suite du débat sur les barèmes relatifs aux dommages et intérêts prud’homaux.De fait, nous avons beaucoup parlé du « troisième étage », celui des barèmes des dommages et intérêts. Nous avons dit aussi que nous souhaitions beaucoup plus de conciliation, ce qui implique qu’il y ait des raisons accrues d’y recourir. Cela se traduit par des procédures de conciliation, ainsi que par les incitations fiscales et sociales que vous avez votées tout à l’heure. Mais la question des indemnités légales se pose parce que, par comparaison avec les autres pays avancés socialement – je ne compare pas la France à toutes les nations –, nous sommes l’un de ceux qui renvoient le plus au contentieux. Or, cela s’explique, entre autres raisons, par le fait que nous avons un niveau d’indemnités légales et souvent, par voie de conséquence, d’indemnités conventionnelles, plus faible que la moyenne.Ayant réfléchi à cette question, sur la base de cet amendement, je propose à l’ensemble des députés de soutenir la proposition du Gouvernement d’augmenter les indemnités légales accordées à la totalité des salariés qui perdent leur emploi. Cette mesure serait adoptée en septembre par la voie réglementaire. Je vous demande donc le retrait de cet amendement au profit de l’engagement du Gouvernement. (Applaudissements sur les bancs des groupes REM et MODEM.)"
CRSANR5L15S2017E1N012,,,20170713150000000,jeudi 13 juillet 2017,2,12,AN,15,Première session extraordinaire 2017,20171012,Présidence de M. François de Rugy,Renforcement du dialogue social > Discussion des articles (suite) > Après l’article 3 (suite),4,Renforcement du dialogue social,Discussion des articles (suite),Après l’article 3 (suite),,Après l’article 3 (suite),DISC_ARTICLES_3_1,(n[[o]] 19),Après_ 3,1,1,55,PA722150,PM723486,CHGT_PRES_1_1,Info Italiques,,991105,,,,,,(M. Sacha Houlié remplace M. François de Rugy au fauteuil de la présidence.)
CRSANR5L15S2017E1N015,,,20170719150000000,mercredi 19 juillet 2017,Unique,15,AN,15,Première session extraordinaire 2017,20171015,Présidence de M. François de Rugy,Questions au Gouvernement > Comptes publics > Suspension et reprise de la séance,3,Questions au Gouvernement,Comptes publics,Suspension et reprise de la séance,Suspension et reprise de la séance,Suspension et reprise de la séance,SUSP_SEAN_PRES_1,,,1,9,374,PA722150,PM723486,SUSP_SEAN_PRES_3,Info Italiques,,996088,,,,,,"(La séance, suspendue à seize heures dix, est reprise à seize heures trente, sous la présidence de M. Sacha Houlié.)"
CRSANR5L15S2017E1N017,,,20170724160000000,lundi 24 juillet 2017,1,17,AN,15,Première session extraordinaire 2017,20171017,Présidence de M. François de Rugy,Confiance dans la vie publique > Motion de rejet préalable (projet de loi organique),2,Confiance dans la vie publique,Motion de rejet préalable (projet de loi organique),,Motion de rejet préalable (projet de loi organique),Motion de rejet préalable (projet de loi organique),MOTION_RP_1_1,,,2,8,358,PA720622,PM723018,CHGT_PRES_1_1,Info Italiques,,998872,,,,,,(Mme Carole Bureau-Bonnard remplace M. François de Rugy au fauteuil de la présidence.)
CRSANR5L15S2017E1N017,,,20170724160000000,lundi 24 juillet 2017,1,17,AN,15,Première session extraordinaire 2017,20171017,Présidence de M. François de Rugy,Confiance dans la vie publique > Motion de rejet préalable (projet de loi organique),2,Confiance dans la vie publique,Motion de rejet préalable (projet de loi organique),,Motion de rejet préalable (projet de loi organique),Motion de rejet préalable (projet de loi organique),MOTION_RP_1_1,,,2,9,439,PA720622,PM723018,SCR_MRJ_1_2,NORMAL,,1015087,president,Mme la présidente,,720622.0,,Je mets aux voix la motion de rejet préalable sur le projet de loi organique.
CRSANR5L15S2017E1N019,,,20170725150000000,mardi 25 juillet 2017,1,19,AN,15,Première session extraordinaire 2017,20171019,Présidence de Mme Carole Bureau-Bonnard,Confiance dans la vie publique > Discussion des articles (suite) > Rappels au règlement > Suspension et reprise de la séance,4,Confiance dans la vie publique,Discussion des articles (suite),Rappels au règlement,Suspension et reprise de la séance,Suspension et reprise de la séance,SUSP_SEAN_PRES_1,,,1,8,386,PA332747,PM722798,SUSP_SEAN_PRES_3,Info Italiques,,1000590,,,,,,"(La séance, suspendue à seize heures trente-cinq, est reprise à seize heures cinquante, sous la présidence de M. François de Rugy.)"
CRSANR5L15S2017E1N019,,,20170725150000000,mardi 25 juillet 2017,1,19,AN,15,Première session extraordinaire 2017,20171019,Présidence de Mme Carole Bureau-Bonnard,Confiance dans la vie publique > Discussion des articles (suite) > Article 1erter(suite) > Suspension et reprise de la séance,5,Confiance dans la vie publique,Discussion des articles (suite),Article 1erter(suite),Suspension et reprise de la séance,Suspension et reprise de la séance,SUSP_SEAN_PRES_1,,,1,14,705,PA719850,PM722780,SUSP_SEAN_PRES_3,Info Italiques,,1000487,,,,,,"(La séance, suspendue à dix-huit heures quinze, est reprise à dix-huit heures trente, sous la présidence de Mme Cendra Motin.)"
CRSANR5L15S2017E1N021,,,20170726150000000,mercredi 26 juillet 2017,1,21,AN,15,Première session extraordinaire 2017,20171021,Présidence de M. François de Rugy,,0,,,,,,,,,0,1,3,PA332747,PM722798,OUV_SEAN_2_1,NORMAL,,1002614,president,,,,,(La séance est ouverte à quinze heures.)
CRSANR5L15S2017E1N021,,,20170726150000000,mercredi 26 juillet 2017,1,21,AN,15,Première session extraordinaire 2017,20171021,Présidence de M. François de Rugy,Questions au Gouvernement > restrictions budgétaires,2,Questions au Gouvernement,restrictions budgétaires,,restrictions budgétaires,restrictions budgétaires,QG_1_1,,,2,1,20,PA607846,-1,QG_2_5,NORMAL,PAROLE_1_2,1009541,,M. Gérald Darmanin,ministre,607846.0,,"Nous voulons que le Parlement puisse s’exprimer, lors de la discussion du budget, à partir des vrais chiffres et non de sous-budgétisations. Vous aurez un budget sincère – un budget qui correspondra ainsi au contrôle démocratique du Parlement. (Applaudissements sur les bancs des groupes REM et MODEM.)"
CRSANR5L15S2017E1N021,,,20170726150000000,mercredi 26 juillet 2017,1,21,AN,15,Première session extraordinaire 2017,20171021,Présidence de M. François de Rugy,Questions au Gouvernement > Versement des aides de la politique agricole commune,2,Questions au Gouvernement,Versement des aides de la politique agricole commune,,Versement des aides de la politique agricole commune,Versement des aides de la politique agricole commune,QG_1_1,,,2,2,36,PA607395,-1,QG_2_5,NORMAL,PAROLE_1_2,1009554,,M. Stéphane Travert,ministre,607395.0,,"…dans la foulée, mettre en œuvre tous les moyens nécessaires afin que les paiements relatifs aux MAEC et aux aides à l’agriculture biologique au titre de 2016 interviennent au plus tard en mars 2018. La phase de télédéclaration étant achevée depuis le 31 mai 2017, je souhaite que soit réalisée l’instruction des aides 2017 du premier pilier afin d’en permettre le paiement dès le mois de janvier 2018. Nous aurons ainsi, en octobre 2017, une avance de trésorerie remboursable pour compenser le non-versement des avances et acomptes habituellement versés en septembre et en octobre.Vous le voyez, nous sommes engagés aux côtés de nos agriculteurs et nous souhaitons, dès janvier 2018, reprendre le calendrier vertueux du versement des aides. (Applaudissements sur les bancs du groupe REM et sur quelques bancs du groupe MODEM.)"
CRSANR5L15S2017E1N021,,,20170726150000000,mercredi 26 juillet 2017,1,21,AN,15,Première session extraordinaire 2017,20171021,Présidence de M. François de Rugy,Questions au Gouvernement > Programme éolien,2,Questions au Gouvernement,Programme éolien,,Programme éolien,Programme éolien,QG_1_1,,,2,8,324,PA1874,PM722598,INTERRUPTION_1_10,NORMAL,,1009634,,M. Marc Le Fur,,1874.0,,C’est vrai !
CRSANR5L15S2017E1N021,,,20170726150000000,mercredi 26 juillet 2017,1,21,AN,15,Première session extraordinaire 2017,20171021,Présidence de M. François de Rugy,Questions au Gouvernement > Programme éolien,2,Questions au Gouvernement,Programme éolien,,Programme éolien,Programme éolien,QG_1_1,,,2,8,330,PA334149,PM723034,INTERRUPTION_1_10,NORMAL,,1009636,,M. Daniel Fasquelle,,334149.0,,"Nous, nous sommes pour le nucléaire !"
CRSANR5L15S2017E1N021,,,20170726150000000,mercredi 26 juillet 2017,1,21,AN,15,Première session extraordinaire 2017,20171021,Présidence de M. François de Rugy,Questions au Gouvernement > Programme éolien,2,Questions au Gouvernement,Programme éolien,,Programme éolien,Programme éolien,QG_1_1,,,2,8,331,PA1695,PM723322,INTERRUPTION_1_10,NORMAL,,1009637,,M. Christian Jacob,,1695.0,,Nous n’avons aucun problème avec le nucléaire !
